Entity,Year,Population,"Electricity
 Generation (TWh)","Per capita 
electricity (kWh)",Coal %,Oil %,Gas %,Nuclear %,Solar %,Wind %,Hydro %,Other renewables %,Renewables %,Fossil fuels %,Low-carbon electricity %
Indonesia,2019,270625984,274.588,"1,014.64",59.34,5.84,22.00,0.00,0.04,0.08,6.68,6.02,12.82,87.18,12.82
Iran,2019,82914000,302.392,"3,647.06",0.15,3.70,90.11,2.43,0.18,0.26,3.16,0.01,3.61,93.96,6.04
Iraq,2019,39310000,90.266,"2,296.25",0.00,35.91,60.42,0.00,0.06,0.00,3.61,0.00,3.68,96.32,3.68
Ireland,2019,4882000,28.117,"5,759.40",7.40,0.00,55.78,0.00,0.04,30.03,3.86,,,63.18,
Israel,2019,8519000,66.129,"7,762.50",31.99,0.00,64.78,0.00,2.91,0.36,0.00,0.00,3.27,96.77,3.27
Italy,2019,60550000,282.686,"4,668.63",6.49,4.57,48.95,0.00,8.48,7.23,16.07,,,60.01,
Jamaica,2019,2948000,4.246,"1,440.19",0.00,66.55,13.33,0.00,1.38,8.09,3.77,6.87,20.11,79.89,20.11
Japan,2019,126860000,938.170,"7,395.32",30.34,6.11,32.69,8.01,7.80,0.83,7.52,6.70,22.84,69.15,30.85
Jordan,2019,10102000,20.171,"1,996.73",0.00,8.42,82.72,0.00,5.91,2.77,0.17,0.02,8.87,91.13,8.87
Kazakhstan,2019,18551000,101.793,"5,487.20",63.53,1.48,23.55,0.00,0.48,0.51,10.39,0.05,11.43,88.57,11.43
Kenya,2019,52574000,11.666,221.90,0.00,19.25,0.00,0.00,2.23,6.17,25.56,46.78,80.75,19.25,80.75
Kiribati,2019,118000,0.031,259.89,0.00,82.61,0.00,0.00,17.39,0.00,0.00,0.00,17.39,82.61,17.39
Kuwait,2019,4207000,71.537,"17,004.36",0.00,0.00,99.96,0.00,0.01,0.03,0.00,0.00,0.04,99.96,0.04
Kyrgyzstan,2019,6416000,16.222,"2,528.31",5.96,0.44,0.00,0.00,0.00,0.00,93.60,0.00,93.60,6.40,93.60
Laos,2019,7169000,31.831,"4,440.09",37.15,0.00,0.00,0.00,0.03,0.00,62.80,0.02,62.85,37.15,62.85
Latvia,2019,1907000,6.521,"3,419.43",0.00,0.00,51.75,0.00,0.01,2.37,33.59,,,51.75,
Lebanon,2019,6856000,19.394,"2,828.71",0.00,53.72,44.68,0.00,0.00,0.03,1.57,0.00,1.60,98.40,1.60
